MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	199.87329	Sec	12/31/2019 10:49:14 AM
Time	1000 kN Displacement	1000 kN Force	Ex D1	Ex D2	1000 kN Count
s	mm	N	mm	mm	segments
152.89136	3.8097644	243579.56	-0.031610727	-0.015999079	2
153.89136	3.8192577	247773.09	-0.032062531	-0.0167045	2
154.89136	3.8302898	251965.94	-0.032478273	-0.017231107	2
155.89136	3.8398485	255943.2	-0.032929182	-0.017818511	2
156.89136	3.8493657	260111	-0.033354461	-0.018398166	2
157.89136	3.8600175	264440.06	-0.034011006	-0.018895268	2
158.89136	3.8699803	268651.06	-0.034438968	-0.019573867	2
159.89136	3.8786182	272562.09	-0.03490001	-0.020292699	2
160.89136	3.8895967	276753.25	-0.035343468	-0.020802915	2
161.89136	3.8999219	280693.13	-0.035761893	-0.021393001	2
162.89136	3.9098608	284843.25	-0.036284924	-0.02193898	2
163.89136	3.9190273	288729.69	-0.036822557	-0.022611022	2
164.89136	3.9311168	292499.31	-0.037276745	-0.023236871	2
165.89136	3.9391608	296687.69	-0.037720203	-0.02377063	2
166.89136	3.950763	300667.5	-0.038207173	-0.024482608	2
167.89136	3.9596744	304439.94	-0.038682222	-0.025113523	2
168.89136	3.9691558	308057.94	-0.039027333	-0.025684834	2
169.89136	3.9807284	312056.41	-0.039469302	-0.026529729	2
170.89136	3.9900556	315762.78	-0.039936006	-0.027141869	2
171.89136	4.000339	319513.13	-0.040376484	-0.027802587	2
172.89136	4.0105453	323223.66	-0.040821433	-0.028464794	2
173.89136	4.0187497	326783.13	-0.041233003	-0.029212236	2
174.89136	4.029942	330356.66	-0.041746497	-0.029905438	2
175.89136	4.0398035	333856.22	-0.04229635	-0.03026396	2
176.89136	4.049315	336762.38	-0.043247342	-0.0305897	2
177.89136	4.0594559	339819.25	-0.043778121	-0.031066537	2
178.89136	4.0696917	343070.72	-0.044159591	-0.031799972	2
179.89136	4.078692	346007.28	-0.044257045	-0.032984912	2
180.89136	4.0907221	349306.66	-0.044434667	-0.033974051	2
181.89136	4.0994787	352282.13	-0.044649839	-0.034862459	2
182.89136	4.1095071	355512.75	-0.045027733	-0.035802722	2
183.89136	4.1187568	358333.34	-0.045082569	-0.036870837	2
184.89136	4.1303768	361334.38	-0.045480132	-0.037772357	2
185.89136	4.1410112	364215.69	-0.045742393	-0.03865093	2
186.89136	4.1488767	366572.88	-0.046181977	-0.039637983	2
187.89136	4.1584473	368952.5	-0.046465099	-0.040559769	2
188.89136	4.1694498	371240.88	-0.046771765	-0.041541755	2
189.89136	4.1794538	373185.28	-0.047065616	-0.042667985	2
190.89136	4.1893158	374729.44	-0.047129095	-0.043626726	2
191.89136	4.1990762	375898.25	-0.047188997	-0.044926107	2
192.89136	4.2115641	375763.59	-0.045894384	-0.047480464	2
193.89136	4.2253881	373513.59	-0.044019222	-0.050373375	2
194.89136	4.2350001	366288.22	-0.040184557	-0.054109097	2
195.89136	4.2439294	359429.44	-0.029818714	-0.063938797	2
196.89136	4.2545571	351888.75	-0.017849207	-0.075047016	2
197.89136	4.2646685	341035.5	-0.0023138523	-0.089624822	2
198.89136	4.276176	319994.66	0.025668144	-0.11453897	2

Data Acquisition						Time:	608.22021	Sec	12/31/2019 10:56:02 AM
Time	1000 kN Displacement	1000 kN Force	Ex D1	Ex D2	1000 kN Count
s	mm	N	mm	mm	segments
438.84863	2.9477792	1202.8264	-7.4803829e-05	0.00015497208	5
439.84863	2.9606886	1375.3231	-0.00016599894	0.00022172928	5
440.84863	2.9730811	1491.2831	-0.00015825033	0.00021219254	5
441.84863	2.9833052	1567.8899	-0.00019580126	0.00019490719	5
442.84863	2.9940758	1651.2023	-0.00019848347	0.00018835068	5
443.84863	3.0050426	1722.0056	-0.0001308322	0.00017493963	5
444.84863	3.0137279	1783.6155	-0.00010997057	0.00024467707	5
445.84863	3.0237501	1848.9021	-0.00022679567	0.00013768673	5
446.84863	3.0340989	1903.4156	-0.00016003847	0.0001847744	5
447.84863	3.0432301	1944.2811	-0.00020205975	0.00020772219	5
448.84863	3.0535789	1997.4344	-0.00024557114	0.00013768673	5
449.84863	3.0632503	2034.9584	-0.00017940998	0.00025391579	5
450.84863	3.0729518	2077.6367	-0.00024408102	0.00020861626	5
451.84863	3.0830986	2117.4004	-0.00017255545	0.00018507242	5
452.84863	3.0936553	2144.6846	-0.00011324883	0.00017166138	5
453.84863	3.1030655	2190.5088	-0.00011861324	0.00018060207	5
454.84863	3.11307	2238.0337	-0.00012606382	0.00015228987	5
455.84863	3.1224742	2288.2195	-0.00014811754	0.00016063452	5
456.84863	3.1323833	2347.6108	-0.00013619661	0.00017702579	5
457.84863	3.1440809	2414.9949	-0.00012874603	0.00026583672	5
458.84863	3.1535268	2510.7017	-0.0001719594	0.00024139881	5
459.84863	3.1620162	2627.3657	-0.00020802021	0.00021785498	5
460.84863	3.1730244	2752.2566	-0.00017911196	0.00021725893	5
461.84863	3.1825891	2883.168	-0.0002887845	8.8214874e-05	5
462.84863	3.1928844	3036.8914	-0.00018149614	0.00016659498	5
463.84863	3.2022054	3262.3596	-0.0002092123	0.00012606382	5
464.84863	3.2122693	3560.6711	-0.0001680851	1.7881393e-06	5
465.84863	3.22263	3928.5212	-0.00010937452	-0.0001001358	5
466.84863	3.2319689	4409.0957	-0.00019431114	-0.0001963973	5
467.84863	3.2431138	4978.5479	-0.00011891127	-0.00038057566	5
468.84863	3.2530527	5527.0234	1.758337e-05	-0.00059902668	5
469.84863	3.2644591	6040.6362	0.0003272295	-0.0010445714	5
470.84863	3.2711899	6534.4087	0.00063300133	-0.0013199449	5
471.84863	3.2824478	7226.27	0.00096350908	-0.0017443299	5
472.84863	3.2931235	8018.1616	0.0013050437	-0.002117455	5
473.84863	3.3015652	8794.3672	0.0017148256	-0.0025507808	5
474.84863	3.3120627	9780.5225	0.0021094084	-0.0031670928	5
475.84863	3.3250968	10838.055	0.0026750565	-0.0038120151	5
476.84863	3.334394	11844.888	0.0030681491	-0.0045523047	5
477.84863	3.3431864	12842.69	0.0035774708	-0.0050678849	5
478.84863	3.3541234	14118.188	0.0042137504	-0.005735755	5
479.84863	3.3645079	15307.456	0.0046131015	-0.0064954162	5
480.84863	3.373033	16593.582	0.0050926208	-0.0071617961	5
481.84863	3.3830907	18064.539	0.0057166815	-0.0080195069	5
482.84863	3.3941348	19621.197	0.006301105	-0.0087246299	5
483.84863	3.4042578	21209.02	0.0069108605	-0.009624362	5
484.84863	3.4186642	23643.699	0.0081571937	-0.011155307	5
485.84863	3.4296725	25284.328	0.0083994865	-0.011772811	5
486.84863	3.4371223	26648.326	0.0088641047	-0.012538731	5
487.84863	3.4474592	27999.857	0.0093021989	-0.013152957	5
488.84863	3.4538813	29365.854	0.0096508861	-0.013695955	5
489.84863	3.46262	31715.533	0.010255873	-0.014820099	5
490.84863	3.4775138	34375.68	0.010938048	-0.015733838	5
491.84863	3.488611	36392.969	0.011270642	-0.0166291	5
492.84863	3.496655	38088.844	0.011736751	-0.017398596	5
493.84863	3.5038967	39622.332	0.012194514	-0.018049777	5
494.84863	3.5126119	41392.648	0.01271069	-0.018693507	5
495.84863	3.5246718	44008.48	0.013827682	-0.02015233	5
496.84863	3.5366483	46213.672	0.014592111	-0.021334887	5
497.84863	3.5446625	48135.73	0.015273988	-0.02227962	5
498.84863	3.5520945	49844.57	0.01590848	-0.02309233	5
499.84863	3.5645819	52872.684	0.016800165	-0.024445355	5
500.84863	3.5757031	55630.188	0.017599761	-0.025501847	5
501.84863	3.5865808	57793.328	0.018167794	-0.026386678	5
502.84863	3.5932226	59791.91	0.018843114	-0.027163327	5
503.84863	3.6039457	62430.895	0.019473135	-0.028061569	5
504.84863	3.6136351	64955.414	0.020001233	-0.029076338	5
505.84863	3.6259325	67796.867	0.020540655	-0.030055344	5
506.84863	3.6333704	70556.914	0.021036863	-0.030933022	5
507.84863	3.6441469	73299.242	0.021484494	-0.031685829	5
508.84863	3.6552324	76457.445	0.021751821	-0.03267616	5
509.84863	3.664417	79041.016	0.022159517	-0.033479929	5
510.84863	3.6755202	82452.961	0.02248019	-0.034527779	5
511.84863	3.6844671	85228.867	0.022873282	-0.035378039	5
512.84863	3.6950181	88569.172	0.023227036	-0.036278367	5
513.84863	3.7059014	91628.695	0.023296773	-0.037212372	5
514.84863	3.7134047	94666.008	0.023517013	-0.037847459	5
515.84863	3.7264388	98149.531	0.02376318	-0.038744807	5
516.84863	3.7348154	101195.3	0.023829639	-0.039377511	5
517.84863	3.7448018	104717.91	0.023909211	-0.040242374	5
518.84863	3.7536416	108147.48	0.024016201	-0.040891171	5
519.84863	3.7644124	111685.27	0.024172664	-0.041742921	5
520.84863	3.7738285	114912.05	0.024299026	-0.042436421	5
521.84863	3.7853298	118431.89	0.024339855	-0.043308735	5
522.84863	3.7939796	121796.5	0.024374723	-0.044080913	5
523.84863	3.805285	125535.45	0.024451315	-0.044768155	5
524.84863	3.8151765	128986.12	0.024386644	-0.045416057	5
525.84863	3.8250737	132724.23	0.024427176	-0.046137869	5
526.84863	3.8351731	136262.88	0.024474263	-0.046993196	5
527.84863	3.8452547	139817.09	0.024491251	-0.047540665	5
528.84863	3.855562	143569.34	0.024463236	-0.048263073	5
529.84863	3.864289	147193.8	0.024419427	-0.048979223	5
530.84863	3.8748577	150923.39	0.024445355	-0.049712062	5
531.84863	3.8847015	154619	0.024339259	-0.050406754	5
532.84863	3.8937256	158257.25	0.024473369	-0.051053464	5
533.84863	3.9057081	162132.38	0.02448827	-0.051933825	5
534.84863	3.9167461	166904.95	0.024442077	-0.052621067	5
535.84863	3.9247305	170199.52	0.024435818	-0.05345732	5
536.84863	3.9343665	173817.3	0.02443701	-0.054093301	5
537.84863	3.945749	178106.92	0.024413764	-0.054915249	5
538.84863	3.9548564	181639.94	0.024397373	-0.055565834	5
539.84863	3.9642963	185415.23	0.024387836	-0.056464374	5
540.84863	3.9743183	189190.86	0.024306774	-0.057103634	5
541.84863	3.985992	193423.56	0.024348795	-0.057938397	5
542.84863	3.99523	197288.8	0.024185181	-0.058630109	5
543.84863	4.0049667	201188.25	0.024145544	-0.0594154	5
544.84863	4.0143294	205054.77	0.023915768	-0.060037374	5
545.84863	4.0252428	208930.09	0.023619831	-0.060742199	5
546.84863	4.0343914	212804.3	0.023342967	-0.061474741	5
547.84863	4.0447583	216725.34	0.023018122	-0.062037706	5
548.84863	4.0548515	220723.8	0.022592247	-0.062737763	5
549.84863	4.0641074	224232.48	0.022404194	-0.063282549	5
550.84863	4.075068	228201.34	0.022059083	-0.063963234	5
551.84863	4.0839677	231996.06	0.02165556	-0.064685643	5
552.84863	4.09516	236028.44	0.021280348	-0.065169036	5
553.84863	4.1036792	239417.53	0.020866394	-0.065772533	5
554.84863	4.1158991	243424.81	0.020503104	-0.066649914	5
555.84863	4.123836	246937.81	0.020063519	-0.067202747	5
556.84863	4.1355572	250554.25	0.019746423	-0.067786574	5
557.84863	4.1433873	253820.39	0.019338429	-0.06831795	5
558.84863	4.1547461	257311.89	0.019048452	-0.069137812	5
559.84863	4.1657248	260651.06	0.018506944	-0.069873631	5
560.84863	4.1756992	263590.66	0.017619431	-0.070179701	5
561.84863	4.1846166	266588.72	0.017138422	-0.070813	5
562.84863	4.1954169	269975.31	0.016618371	-0.07147342	5
563.84863	4.2052369	272823.88	0.016176403	-0.072055757	5
564.84863	4.2138095	275775.84	0.015563071	-0.072716475	5
565.84863	4.2266655	279218.09	0.015132129	-0.073460937	5
566.84863	4.2338953	281937.06	0.014829636	-0.074367225	5
567.84863	4.2453017	285077.94	0.014461279	-0.075179636	5
568.84863	4.2549968	288259.88	0.014131367	-0.076307654	5
569.84863	4.2656131	290835.34	0.01396358	-0.077109933	5
570.84863	4.2740135	293443.38	0.013708174	-0.078129768	5
571.84863	4.2850575	296302.69	0.01362294	-0.07948637	5
572.84863	4.2952814	298270.72	0.013611615	-0.080939829	5
573.84863	4.304769	299728.56	0.013646781	-0.082784891	5
574.84863	4.3162761	300614.28	0.013545752	-0.08474648	5
575.84863	4.3260727	301571.59	0.013587773	-0.086813271	5
576.84863	4.3337064	302475.63	0.013588965	-0.089505017	5
577.84863	4.3449526	303159.59	0.013551414	-0.091555417	5
578.84863	4.3547902	303976.34	0.013606548	-0.094275773	5
579.84863	4.3660836	304266.06	0.013670623	-0.097359717	5
580.84863	4.3758149	304191.25	0.015076399	-0.10119945	5
581.84863	4.3870368	303645	0.017504096	-0.10633856	5
582.84863	4.3975821	302349.09	0.021532476	-0.11345774	5
583.84863	4.4089766	299949.69	0.02720207	-0.12259454	5
584.84863	4.4186659	296302.31	0.034047067	-0.13251156	5
585.84863	4.4284382	293082.69	0.040686131	-0.14327854	5
586.84863	4.4393158	289715.47	0.048182905	-0.15549868	5
587.84863	4.4490528	285537.84	0.057966709	-0.16929656	5
588.84863	4.4580531	280986.38	0.069926679	-0.18556088	5
589.84863	4.4683247	277833.69	0.08202225	-0.20180494	5
590.84863	4.4780736	275444.16	0.092546344	-0.21549255	5
591.84863	4.4878225	272907.94	0.10269076	-0.22938043	5
592.84863	4.4966149	270346.41	0.11414707	-0.24386972	5
593.84863	4.5074449	267650.78	0.12585282	-0.25868803	5
594.84863	4.5173898	264270.66	0.13636202	-0.27182877	5
595.84863	4.528214	259749.2	0.14807045	-0.28548092	5
596.84863	4.5367689	253294.14	0.16146243	-0.29985368	5
597.84863	4.5476346	244161.72	0.16377896	-0.31312317	5
598.84863	4.5581617	231930.66	0.16387254	-0.33068269	5
599.84863	4.5690808	213076.97	0.16387999	-0.34959525	5
600.84863	4.5788832	189012.7	0.16391814	-0.37294179	5
601.84863	4.5888696	175196.41	0.16386718	-0.38824499	5
602.84863	4.5960579	166492.44	0.16378492	-0.40037245	5
603.84863	4.6069355	161291.02	0.16388267	-0.4112196	5
604.84863	4.6161199	156400.25	0.16384214	-0.42271554	5
605.84863	4.6249418	151933.97	0.16377538	-0.43103278	5
606.84863	4.6356711	148629.16	0.16373575	-0.43921858	5
607.84863	4.6459484	145339	0.16372442	-0.4471454	5

Data Acquisition						Time:	1085.052	Sec	12/31/2019 11:03:59 AM
Time	1000 kN Displacement	1000 kN Force	Ex D1	Ex D2	1000 kN Count
s	mm	N	mm	mm	segments
951.19385	2.0142789	1178.8453	-0.00011652708	6.7651272e-05	8
952.19385	2.0279367	1469.7067	-5.1558018e-05	8.4042549e-05	8
953.19385	2.0370915	1596.4425	-4.440546e-05	6.1690807e-05	8
954.19385	2.0477731	1772.8638	-5.1259995e-05	4.3809414e-05	8
955.19385	2.0558941	1966.9357	-3.2186508e-05	4.3809414e-05	8
956.19385	2.0675321	2193.1631	-0.00017374754	0.00010728836	8
957.19385	2.0771325	2425.8862	-0.00028073788	0.00011831522	8
958.19385	2.0898101	2107.8811	-0.00038057566	0.00021964312	8
959.19385	2.096844	2388.938	-0.00030308962	0.00016331673	8
960.19385	2.1090641	2608.4663	-0.00032156706	0.00018417835	8
961.19385	2.1169715	2786.6853	-0.00034838915	0.00019818544	8
962.19385	2.1257162	2953.3477	-0.00037312508	0.00022083521	8
963.19385	2.1364274	3101.9355	-0.00056624413	0.00025719404	8
964.19385	2.1483626	3211.1919	-0.00060021877	0.00033527613	8
965.19385	2.1563351	3383.3691	-0.00069737434	0.00037103891	8
